ID_V2.1D ID_V4.1 RA DEC FIELD
2676 8329 214.913208 52.824726 AEGIS
2102 6875 214.918762 52.822136 AEGIS
1868 6237 214.922394 52.821976 AEGIS
2599 7914 214.946365 52.84687 AEGIS
1175 5040 214.937759 52.826511 AEGIS
804 2965 214.935272 52.81749 AEGIS
523 2514 214.939377 52.817368 AEGIS
807 3038 214.951492 52.829151 AEGIS
-9999 1307 214.947769 52.817932 AEGIS
16667 15922 150.152878 2.341792 COSMOS
19885 19014 150.149475 2.372355 COSMOS
19882 19024 150.146973 2.37227 COSMOS
19810 18950 150.1436 2.37163 COSMOS
17704 16923 150.141556 2.351817 COSMOS
19227 18396 150.138885 2.366626 COSMOS
18497 17691 150.136856 2.359277 COSMOS
20207 19342 150.132034 2.375727 COSMOS
21491 20542 150.127151 2.38786 COSMOS
21369 20416 150.122757 2.386497 COSMOS
21112 20171 150.118286 2.383943 COSMOS
20966 20030 150.117432 2.383903 COSMOS
18952 18133 150.115402 2.363473 COSMOS
19876 19013 150.112 2.372633 COSMOS
17158 16392 150.110474 2.346679 COSMOS
19987 19118 150.107193 2.373396 COSMOS
19940 19067 150.105759 2.373216 COSMOS
20637 19728 150.102875 2.379413 COSMOS
16549 15810 150.1008 2.341475 COSMOS
18654 17842 150.096878 2.360803 COSMOS
18639 17831 150.095871 2.360671 COSMOS
19593 18758 150.09433 2.370171 COSMOS
